id,set,index,source_sheet,view,clothed,facing_original,mirrored,H_px,scale,phi,theta,NF,spread,arm_spread,hand_f,hand_b,lift_f,lift_b,together
cE1_00,cE1,0,e1dcfb21-image.png,side,True,east,False,587,1.0221,0.5,0.0,F,0.33571349658750205,0.13896666666666685,0.08230000000000019,0.05666666666666667,0.023333333333333334,0.0,False
cE1_01,cE1,1,e1dcfb21-image.png,side,True,east,False,584,1.0274,0.5,0.0,F,0.34929217744640617,0.13833333333333334,0.08166666666666667,0.05666666666666667,0.011666666666666667,0.0,False
cE1_02,cE1,2,e1dcfb21-image.png,side,True,east,False,584,1.0274,0.5,0.0,F,0.2970562933478587,0.07986688851913476,0.02495840266222961,0.05490848585690515,0.0,0.011647254575707155,False
cE1_03,cE1,3,e1dcfb21-image.png,side,True,east,False,588,1.0204,0.6274349048751254,0.25486980975025086,F,0.1738664824573884,0.05158069883527454,0.0033277870216306127,0.048252911813643926,0.0,0.024958402662229616,False
cE1_04,cE1,4,e1dcfb21-image.png,side,True,east,False,592,1.0135,0.75,0.5,F,0.19435215946843853,0.0681063122923588,0.02491694352159468,0.043189368770764125,0.0,0.0,True
cE1_05,cE1,5,e1dcfb21-image.png,side,True,east,False,591,1.0152,0.0,0.0,N,0.2670050955902072,0.10797342192691031,0.06644518272425251,0.0415282392026578,0.014950166112956811,0.0,False
cE1_06,cE1,6,e1dcfb21-image.png,side,True,east,False,582,1.0309,0.0,0.0,N,0.33999730102002834,0.12,0.07333333333333333,0.04666666666666666,0.005,0.0,False
cE1_07,cE1,7,e1dcfb21-image.png,side,True,east,False,584,1.0274,0.0,0.0,N,0.3592513699400322,0.12833333333333333,0.07666666666666666,0.051666666666666666,0.0,0.008333333333333333,False
cE1_08,cE1,8,e1dcfb21-image.png,side,True,east,False,586,1.0239,0.0,0.0,N,0.31787566714768606,0.12499999999999997,0.06833333333333333,0.05666666666666664,0.0,0.023333333333333334,False
cE1_09,cE1,9,e1dcfb21-image.png,side,True,east,False,591,1.0152,0.09348194474641852,0.18696388949283704,N,0.22203094347771163,0.10676079734219271,0.04817275747508307,0.05858803986710964,0.0,0.03820598006644518,False
